id_game,player,points,rebounds,assists,steals,blocks,misses,misses_ft,turnovers,fouls,FGM,FGA,FTM,FTA,3PM,3PA,MP
401724636,Saniya Rivers,13,3,4,1,2,7,1,2,1,5,12,3,4,0,1,00:39:00
401724636,Madison Hayes,8,7,1,1,1,4,0,1,1,2,6,3,3,1,4,00:38:00
401724649,Tilda Trygger,16,14,0,1,3,5,0,0,1,7,12,2,2,0,1,00:34:00
401724649,Zoe Brooks,21,7,7,0,1,8,0,2,1,8,16,4,4,1,2,00:32:00
401724649,Aziaha James,22,5,2,3,0,9,2,1,1,9,18,2,4,2,7,00:38:00
401724649,Saniya Rivers,12,3,3,1,2,6,2,2,3,4,10,2,4,2,4,00:33:00
401724649,Madison Hayes,14,9,2,0,0,7,2,0,2,4,11,4,6,2,5,00:36:00
401724655,Tilda Trygger,10,6,2,0,1,3,1,0,2,4,7,2,3,0,1,00:29:00
401724655,Zoe Brooks,8,1,4,1,0,7,0,4,0,4,11,0,0,0,1,00:25:00
401724655,Aziaha James,15,6,3,1,1,9,0,0,2,7,16,0,0,1,6,00:38:00
401724655,Saniya Rivers,7,6,5,1,1,7,0,2,1,3,10,0,0,1,5,00:35:00
401724655,Madison Hayes,19,7,1,1,2,6,1,0,0,6,12,3,4,4,9,00:38:00
401724662,Tilda Trygger,8,6,1,1,0,5,1,1,4,4,9,0,1,0,4,00:29:00
401724662,Zoe Brooks,10,6,0,2,0,9,3,1,3,4,13,2,5,0,1,00:32:00
401724662,Aziaha James,16,7,4,0,0,9,1,3,3,7,16,0,1,2,4,00:29:00
401724662,Saniya Rivers,14,12,4,2,4,11,2,2,3,7,18,0,2,0,5,00:40:00
401724662,Madison Hayes,13,11,1,0,0,4,0,1,2,5,9,1,1,2,3,00:34:00
401724673,Tilda Trygger,8,7,0,0,2,2,0,2,1,2,4,4,4,0,0,00:33:00
401724673,Zoe Brooks,17,5,2,2,0,8,0,3,1,7,15,3,3,0,2,00:32:00
401724673,Aziaha James,17,2,3,1,0,4,2,1,0,7,11,0,2,3,6,00:29:00
401724673,Saniya Rivers,16,7,8,2,1,7,0,3,1,7,14,2,2,0,2,00:36:00
401724673,Madison Hayes,14,6,3,1,0,6,0,0,0,5,11,0,0,4,7,00:40:00
401724678,Tilda Trygger,19,10,1,0,2,1,1,1,0,8,9,1,2,2,2,00:43:00
401724678,Zoe Brooks,33,10,3,1,2,12,0,6,3,9,21,14,14,1,4,00:48:00
401724678,Aziaha James,20,5,2,1,0,11,0,4,1,8,19,2,2,2,6,00:43:00
401724678,Saniya Rivers,14,13,9,2,3,12,1,5,1,5,17,3,4,1,3,00:48:00
