id_game	player	id_player	EFF_per_min	Winscore_min	TS_min	home	sex	class
M401724789	Jayden Taylor	5	0.0384615384615385	-0.134615384615385	0.012993762993763	0	0	4
M401724789	Trey Parker	9	0	-0.1	NA	0	0	1
M401724789	Dennis Parker Jr.	3	0.214285714285714	0.107142857142857	0.0714285714285714	0	0	2
M401724789	Dontrez Styles	4	0.48	0.28	0.01985559566787	0	0	4
M401724761	Ben Middlebrooks	2	0.565217391304348	0.239130434782609	0.0284543592078306	1	0	4
M401724761	Dontrez Styles	4	0.32258064516129	0.161290322580645	0.0134408602150538	1	0	4
M401724761	Jayden Taylor	5	0.294117647058824	0.132352941176471	0.0208382948321029	1	0	4
M401724761	Dennis Parker Jr.	3	0.555555555555556	0.333333333333333	0.0578703703703704	1	0	2
M401724751	Ben Middlebrooks	2	0.375	0.21875	0.00827595338983051	1	0	4
M401724751	Dontrez Styles	4	0.347826086956522	0.173913043478261	0.0163276730733346	1	0	4
M401724751	Jayden Taylor	5	0.333333333333333	0.116666666666667	0.0183823529411765	1	0	4
M401724751	Dennis Parker Jr.	3	0.333333333333333	0.138888888888889	0.0227686703096539	1	0	2
M401724802	Ben Middlebrooks	2	0.555555555555556	0.240740740740741	0.024973105885969	0	0	4
M401724802	Dontrez Styles	4	0.434782608695652	0.260869565217391	0.0284378159757331	0	0	4
M401724802	Jayden Taylor	5	0.40625	0.125	0.0178511424731183	0	0	4
M401724802	Dennis Parker Jr.	3	0.705882352941177	0.411764705882353	0.0482160077145612	0	0	2
M401724808	Ben Middlebrooks	2	0.391304347826087	0.0869565217391304	0.0245010691375624	1	0	4
M401724808	Dontrez Styles	4	0.0740740740740741	0.037037037037037	0	1	0	4
M401724808	Jayden Taylor	5	0.558823529411765	0.294117647058824	0.0184850476503451	1	0	4
M401724808	Trey Parker	9	0.5	0.2	0.05	1	0	1
M401724808	Dennis Parker Jr.	3	0.307692307692308	0.153846153846154	0.0192307692307692	1	0	2
M401724823	Ben Middlebrooks	2	0.315789473684211	0.0263157894736842	0.0215703192407248	1	0	4
M401724823	Dontrez Styles	4	0.36	0.12	0.0194805194805195	1	0	4
M401724823	Jayden Taylor	5	0.363636363636364	0.151515151515152	0.0112917795844625	1	0	4
M401724823	Trey Parker	9	-0.333333333333333	-0.333333333333333	0	1	0	1
M401724823	Dennis Parker Jr.	3	0.0625	-0.03125	0	1	0	2
M401724830	Ben Middlebrooks	2	0.238095238095238	0.0952380952380952	0	0	0	4
M401724830	Dontrez Styles	4	0.708333333333333	0.270833333333333	0.03125	0	0	4
M401724830	Jayden Taylor	5	0.242424242424242	0.0909090909090909	0.0151515151515152	0	0	4
M401724830	Trey Parker	9	0.631578947368421	0.263157894736842	0.043859649122807	0	0	1
M401724830	Dennis Parker Jr.	3	0	-0.05	0	0	0	2
M401724839	Ben Middlebrooks	2	0.25	0.0357142857142857	0.0102040816326531	1	0	4
M401724839	Dontrez Styles	4	0.727272727272727	0.424242424242424	0.025974025974026	1	0	4
M401724839	Jayden Taylor	5	0.375	0.234375	0.00960553278688525	1	0	4
M401724839	Trey Parker	9	0	-0.266666666666667	0.025	1	0	1
M401724839	Dennis Parker Jr.	3	0	0	0.0664893617021277	1	0	2
M401724854	Ben Middlebrooks	2	0	-0.1875	0.0217013888888889	0	0	4
M401724854	Dontrez Styles	4	0.125	-0.015625	0.005859375	0	0	4
M401724854	Jayden Taylor	5	0.257142857142857	0.0857142857142857	0.0118172268907563	0	0	4
M401724854	Trey Parker	9	0.5	0.15625	0.03515625	0	0	1
M401724854	Dennis Parker Jr.	3	0.285714285714286	0.285714285714286	NA	0	0	2
M401724857	Ben Middlebrooks	2	0	-0.269230769230769	0.0200320512820513	0	0	4
M401724857	Dontrez Styles	4	0.454545454545455	0.181818181818182	0.0224282296650718	0	0	4
M401724857	Jayden Taylor	5	0.275862068965517	0.137931034482759	0.0153256704980843	0	0	4
M401724857	Trey Parker	9	0.821428571428571	0.428571428571429	0.0285594035594036	0	0	1
M401724857	Dennis Parker Jr.	3	0.0909090909090909	-0.0454545454545455	0.0303030303030303	0	0	2
M401724868	Dontrez Styles	4	0.235294117647059	0.0882352941176471	0.0105042016806723	1	0	4
M401724868	Jayden Taylor	5	0.181818181818182	0.0909090909090909	0.0170454545454545	1	0	4
M401724868	Ben Middlebrooks	2	0.105263157894737	0	0.0226860254083485	1	0	4
M401724868	Trey Parker	9	0.318181818181818	-0.0454545454545455	0.0227272727272727	1	0	1
M401724872	Ben Middlebrooks	2	0.5	0.303571428571429	0.0267857142857143	1	0	4
M401724872	Dontrez Styles	4	0.0555555555555556	-0.0833333333333333	0.00925925925925926	1	0	4
M401724872	Jayden Taylor	5	0.432432432432432	0.135135135135135	0.0137745041178518	1	0	4
M401724872	Trey Parker	9	0.5	0.15	0.0375	1	0	1
M401724872	Dennis Parker Jr.	3	0.285714285714286	0.0714285714285714	0.0190258751902588	1	0	2
M401724883	Ben Middlebrooks	2	0	-0.142857142857143	0	0	0	4
M401724883	Dontrez Styles	4	0.724137931034483	0.431034482758621	0.0297265160523187	0	0	4
M401724883	Jayden Taylor	5	0.40625	0.109375	0.0207314944134078	0	0	4
M401724883	Trey Parker	9	-0.0666666666666667	-0.266666666666667	0.019723865877712	0	0	1
M401724883	Dennis Parker Jr.	3	0.454545454545455	0.272727272727273	0.0681818181818182	0	0	2
M401724893	Ben Middlebrooks	2	0.666666666666667	0.333333333333333	0.030458089668616	1	0	4
M401724893	Dontrez Styles	4	0.705882352941177	0.338235294117647	0.0190311418685121	1	0	4
M401724893	Jayden Taylor	5	0.125	-0.0833333333333333	0.0208333333333333	1	0	4
M401724893	Trey Parker	9	0	-0.1	NA	1	0	1
M401724893	Dennis Parker Jr.	3	0.2	-0.3	0.0819672131147541	1	0	2
M401724899	Ben Middlebrooks	2	0.222222222222222	-0.0277777777777778	0.0224014336917563	0	0	4
M401724899	Dontrez Styles	4	0.481481481481481	0.148148148148148	0.0218015799733251	0	0	4
M401724899	Jayden Taylor	5	0.0434782608695652	-0.0434782608695652	0	0	0	4
M401724899	Trey Parker	9	0.285714285714286	0.107142857142857	0.0267857142857143	0	0	1
M401724899	Dennis Parker Jr.	3	0.666666666666667	0.25	0.138888888888889	0	0	2
M401724903	Ben Middlebrooks	2	0.941176470588235	0.441176470588235	0.0492722862340813	0	0	4
M401724903	Dontrez Styles	4	0.366666666666667	0.116666666666667	0.0168219461697723	0	0	4
M401724903	Jayden Taylor	5	0.107142857142857	-0.0357142857142857	0.0102040816326531	0	0	4
M401724903	Trey Parker	9	0.333333333333333	0.0666666666666667	0.0273224043715847	0	0	1
M401724903	Dennis Parker Jr.	3	0.833333333333333	0.583333333333333	0.25	0	0	2
M401724918	Ben Middlebrooks	2	0.5	0.214285714285714	0.0277441485068604	1	0	4
M401724918	Dontrez Styles	4	0.555555555555556	0.347222222222222	0.0138888888888889	1	0	4
M401724918	Jayden Taylor	5	0.0769230769230769	-0.0961538461538462	0.0139758497316637	1	0	4
M401724925	Ben Middlebrooks	2	0.235294117647059	0.0882352941176471	0.0156445556946183	0	0	4
M401724925	Dontrez Styles	4	0.617647058823529	0.264705882352941	0.0225665713855875	0	0	4
M401724925	Jayden Taylor	5	0.0625	-0.0625	0.00805412371134021	0	0	4
W401702885	Zoe Brooks	10	0.67741935483871	0.290322580645161	0.0214917308007205	1	1	2
W401702885	Aziaha James	1	0.678571428571429	0.339285714285714	0.0198153674002238	1	1	3
W401702885	Saniya Rivers	7	0.40625	0.234375	0.0133443322981366	1	1	3
W401702885	Madison Hayes	6	0.5	0.326923076923077	0.0284325889164599	1	1	4
W401702885	Tilda Trygger	8	0.8	0.55	0.104166666666667	1	1	1
W401702886	Zoe Brooks	10	0.275862068965517	0.0517241379310345	0.0213575644610127	0	1	2
W401702886	Aziaha James	1	0.285714285714286	0.0571428571428571	0.0172596919808816	0	1	3
W401702886	Saniya Rivers	7	0.241379310344828	0.0689655172413793	0.00875196919306844	0	1	3
W401702886	Madison Hayes	6	0.272727272727273	0.181818181818182	0.0681818181818182	0	1	4
W401702886	Tilda Trygger	8	0.0454545454545455	0	0.00909090909090909	0	1	1
W401702887	Aziaha James	1	0.931034482758621	0.5	0.0229885057471264	1	1	3
W401702887	Saniya Rivers	7	0.28125	0.109375	0.0104166666666667	1	1	3
W401702887	Madison Hayes	6	0.52	0.3	0.0182186234817814	1	1	4
W401702887	Tilda Trygger	8	0.538461538461538	0.269230769230769	0.0512820512820513	1	1	1
W401702888	Zoe Brooks	10	0.444444444444444	0.208333333333333	0.0161749482401656	0	1	2
W401702888	Saniya Rivers	7	0.459459459459459	0.175675675675676	0.0135135135135135	0	1	3
W401702888	Madison Hayes	6	0.294117647058824	0.220588235294118	0.0294117647058824	0	1	4
W401702888	Tilda Trygger	8	0.0714285714285714	0	0.0124007936507937	0	1	1
W401702888	Aziaha James	1	0.862068965517241	0.396551724137931	0.024656633547633	0	1	3
W401702889	Zoe Brooks	10	0.5	0.303571428571429	0.0186011904761905	1	1	2
W401702889	Aziaha James	1	1.08	0.6	0.0284552845528455	1	1	3
W401702889	Saniya Rivers	7	0.375	0.145833333333333	0.015625	1	1	3
W401702889	Madison Hayes	6	0.92	0.58	0.0344827586206897	1	1	4
W401702889	Tilda Trygger	8	0.461538461538462	0.269230769230769	0.0384615384615385	1	1	1
W401724488	Zoe Brooks	10	0.571428571428571	0.214285714285714	0.0217458043389275	0	1	2
W401724488	Aziaha James	1	0.478260869565217	0.173913043478261	0.0230450145951759	0	1	3
