id_game,player,points,rebounds,assists,steals,blocks,misses,misses_ft,turnovers,fouls,home,FGM,FGA,FTM,FTA,3PM,3PA,MP
401724780,Dontrez Styles,7,1,0,0,0,3,3,0,3,0,3,6,1,4,0,2,00:20:00
401724780,Jayden Taylor,14,2,5,1,0,4,0,2,3,0,4,8,3,3,3,6,00:33:00
401724780,Trey Parker,3,0,0,0,0,1,0,1,0,0,1,2,0,0,1,2,00:05:00
401724780,Dennis Parker Jr.,2,0,0,0,0,4,0,1,2,0,1,5,0,0,0,2,00:20:00
401724780,Ben Middlebrooks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00:00
401724789,Ben Middlebrooks,4,1,1,0,1,3,2,1,4,0,0,3,4,6,0,1,00:26:00
401724789,Jayden Taylor,6,1,3,0,0,6,1,2,2,0,2,8,1,2,1,3,00:26:00
401724789,Trey Parker,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,00:05:00
401724789,Dennis Parker Jr.,2,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,00:14:00
401724789,Dontrez Styles,11,10,0,1,0,5,2,3,1,0,3,8,5,7,0,3,00:25:00
401724761,Ben Middlebrooks,10,4,0,1,3,3,1,1,4,1,2,5,5,6,1,1,00:23:00
401724761,Dontrez Styles,10,7,0,0,2,8,0,1,0,1,4,12,0,0,2,7,00:31:00
401724761,Jayden Taylor,14,2,1,2,0,4,1,4,0,1,5,9,1,2,3,6,00:34:00
401724761,Dennis Parker Jr.,3,2,1,0,1,1,1,0,0,1,1,2,1,2,0,1,00:09:00
401724761,Trey Parker,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,00:00:00
401724751,Ben Middlebrooks,5,14,0,1,2,7,0,3,3,1,2,9,1,1,0,2,00:32:00
401724751,Dontrez Styles,7,5,1,2,1,5,2,1,1,1,3,8,1,3,0,3,00:23:00
401724751,Jayden Taylor,12,3,0,2,0,6,0,1,3,1,4,10,2,2,2,5,00:30:00
401724751,Dennis Parker Jr.,4,2,0,0,3,3,0,0,0,1,1,4,2,2,0,2,00:18:00
401724751,Trey Parker,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,00:00:00
401724802,Ben Middlebrooks,13,2,1,3,0,3,1,0,4,0,4,7,5,6,0,0,00:27:00
401724802,Dontrez Styles,9,5,0,0,0,3,1,0,2,0,3,6,1,2,2,3,00:23:00
401724802,Jayden Taylor,17,2,3,1,0,8,0,2,1,0,6,14,2,2,3,10,00:32:00
401724802,Trey Parker,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,00:02:00
401724802,Dennis Parker Jr.,8,4,1,1,1,1,1,1,2,0,3,4,1,2,1,2,00:17:00
401724808,Ben Middlebrooks,11,4,0,0,1,4,1,2,3,1,4,8,3,4,0,1,00:23:00
401724808,Dontrez Styles,0,4,0,1,1,4,0,0,1,1,0,4,0,0,0,3,00:27:00
401724808,Jayden Taylor,18,5,0,2,0,6,0,0,1,1,7,13,3,3,1,2,00:34:00
