game_id,player,is_home,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
401724789,Jayden Taylor,False,26,2-8,1-3,1-2,1,0,1,3,0,0,2,2,6
401724789,Trey Parker,False,5,0-0,0-0,0-0,0,0,0,0,0,0,0,1,0
401724789,Dennis Parker Jr.,False,14,1-1,0-0,0-0,1,0,1,0,1,0,1,1,2
401724789,Dontrez Styles,False,25,3-8,0-3,5-7,4,6,10,0,1,0,3,1,11
401724761,Ben Middlebrooks,True,23,2-5,1-1,5-6,1,3,4,0,1,3,1,4,10
401724761,Dontrez Styles,True,31,4-12,2-7,0-0,1,6,7,0,0,2,1,0,10
401724761,Jayden Taylor,True,34,5-9,3-6,1-2,0,2,2,1,2,0,4,0,14
401724761,Dennis Parker Jr.,True,9,1-2,0-1,1-2,0,2,2,1,0,1,0,0,3
401724761,Trey Parker,True,0,0,0,0,0,0,0,0,0,0,0,0,0
401724751,Ben Middlebrooks,True,32,2-9,0-2,1-1,7,7,14,0,1,2,3,3,5
401724751,Dontrez Styles,True,23,3-8,0-3,1-3,3,2,5,1,2,1,1,1,7
401724751,Jayden Taylor,True,30,4-10,2-5,2-2,0,3,3,0,2,0,1,3,12
401724751,Dennis Parker Jr.,True,18,1-4,0-2,2-2,0,2,2,0,0,3,0,0,4
401724751,Trey Parker,True,0,0,0,0,0,0,0,0,0,0,0,0,0
401724802,Ben Middlebrooks,False,27,4-7,0-0,5-6,1,1,2,1,3,0,0,4,13
401724802,Dontrez Styles,False,23,3-6,2-3,1-2,2,3,5,0,0,0,0,2,9
401724802,Jayden Taylor,False,32,6-14,3-10,2-2,0,2,2,3,1,0,2,1,17
401724802,Trey Parker,False,2,0-0,0-0,0-0,1,1,2,0,0,0,0,1,0
401724802,Dennis Parker Jr.,False,17,3-4,1-2,1-2,1,3,4,1,1,1,1,2,8
401724808,Ben Middlebrooks,True,23,4-8,0-1,3-4,1,3,4,0,0,1,2,3,11
401724808,Dontrez Styles,True,27,0-4,0-3,0-0,2,2,4,0,1,1,0,1,0
401724808,Jayden Taylor,True,34,7-13,1-2,3-3,1,4,5,0,2,0,0,1,18
401724808,Trey Parker,True,10,2-4,0-1,0-0,1,1,2,0,0,1,0,1,4
401724808,Dennis Parker Jr.,True,13,1-4,0-1,0-0,2,2,4,1,0,1,1,0,2
401724823,Ben Middlebrooks,True,19,1-4,0-1,2-2,1,3,4,0,0,3,2,4,4
401724823,Dontrez Styles,True,25,4-11,1-5,3-3,1,2,3,0,0,1,0,0,12
401724823,Jayden Taylor,True,33,3-13,1-7,4-4,1,5,6,2,3,0,0,2,11
401724823,Trey Parker,True,3,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0
401724823,Dennis Parker Jr.,True,16,0-3,0-1,0-0,2,1,3,0,1,1,1,2,0
401724830,Ben Middlebrooks,False,21,0-2,0-0,0-0,1,2,3,3,1,1,1,2,0
401724830,Dontrez Styles,False,24,7-12,4-6,0-0,0,3,3,0,0,2,1,5,18
401724830,Jayden Taylor,False,33,3-8,2-4,0-0,0,2,2,1,2,1,1,2,8
401724830,Trey Parker,False,19,6-9,3-4,0-0,0,1,1,1,1,0,3,1,15
401724830,Dennis Parker Jr.,False,10,0-1,0-1,0-0,1,1,2,0,0,0,1,1,0
401724839,Ben Middlebrooks,True,28,2-7,0-1,0-0,1,5,6,1,0,3,2,4,4
401724839,Dontrez Styles,True,33,9-14,6-8,0-0,2,3,5,0,0,0,0,2,24
401724839,Jayden Taylor,True,32,2-8,0-2,2-4,1,6,7,4,4,0,1,1,6
401724839,Trey Parker,True,15,3-8,0-3,0-0,2,0,2,0,0,0,3,2,6
401724839,Dennis Parker Jr.,True,4,0-1,0-0,1-2,1,0,1,0,0,0,0,0,1
401724854,Ben Middlebrooks,False,16,0-2,0-0,2-2,0,0,0,0,0,0,0,4,2
401724854,Dontrez Styles,False,32,3-16,0-2,0-0,3,7,10,0,0,2,1,1,6
401724854,Jayden Taylor,False,35,3-10,1-5,2-2,0,5,5,1,1,0,0,3,9
401724854,Trey Parker,False,16,4-8,1-2,0-0,0,1,1,1,0,1,0,1,9
401724854,Dennis Parker Jr.,False,7,0-0,0-0,0-0,0,1,1,0,1,0,0,0,0
401724857,Ben Middlebrooks,False,13,0-4,0-1,3-4,1,1,2,0,0,0,0,5,3
401724857,Dontrez Styles,False,33,3-6,1-3,11-14,3,4,7,0,0,0,4,4,18
401724857,Jayden Taylor,False,29,3-9,2-4,0-0,0,3,3,2,1,0,0,0,8
401724857,Trey Parker,False,28,6-11,5-8,2-2,2,1,3,5,0,1,0,2,19
